 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  1.8278E-06  5.2993E-17  1.0323E+03  6.0946E-07  3.1145E-07  2.0403E-10  1.2590E-10
  1.9077E-06  5.4317E-17  1.0325E+03  6.3190E-07  3.1791E-07  2.3767E-10  1.4623E-10
  1.9912E-06  5.5675E-17  1.0326E+03  6.5526E-07  3.2463E-07  2.7679E-10  1.6978E-10
  2.0783E-06  5.7067E-17  1.0327E+03  6.7956E-07  3.3160E-07  3.2228E-10  1.9703E-10
  2.1692E-06  5.8494E-17  1.0329E+03  7.0480E-07  3.3882E-07  3.7519E-10  2.2855E-10
  2.2641E-06  5.9956E-17  1.0330E+03  7.3100E-07  3.4631E-07  4.3678E-10  2.6501E-10
  2.3632E-06  6.1455E-17  1.0331E+03  7.5816E-07  3.5405E-07  5.0849E-10  3.0716E-10
  2.4665E-06  6.2991E-17  1.0333E+03  7.8626E-07  3.6205E-07  5.9202E-10  3.5589E-10
  2.5688E-06  6.4721E-17  1.0335E+03  8.1528E-07  3.7034E-07  6.8747E-10  4.1120E-10
  2.6735E-06  6.6546E-17  1.0339E+03  8.4508E-07  3.7892E-07  7.9679E-10  4.7432E-10
  2.7825E-06  6.8423E-17  1.0342E+03  8.7562E-07  3.8766E-07  9.2277E-10  5.4668E-10
  2.8960E-06  7.0352E-17  1.0345E+03  9.0690E-07  3.9653E-07  1.0683E-09  6.2955E-10
  3.0140E-06  7.2335E-17  1.0348E+03  9.3889E-07  4.0552E-07  1.2366E-09  7.2441E-10
  3.1369E-06  7.4373E-17  1.0351E+03  9.7155E-07  4.1463E-07  1.4315E-09  8.3294E-10
  3.2648E-06  7.6469E-17  1.0354E+03  1.0049E-06  4.2386E-07  1.6577E-09  9.5708E-10
  3.3979E-06  7.8623E-17  1.0357E+03  1.0387E-06  4.3319E-07  1.9203E-09  1.0991E-09
  3.5365E-06  8.0837E-17  1.0360E+03  1.0731E-06  4.4261E-07  2.2257E-09  1.2616E-09
