#           wl        cont         all         h2o      planck
    15.5749328  1.1304E+05  8.5961E+04  8.5977E+04  1.1025E+05
    15.5515885  1.1370E+05  9.1179E+04  9.1236E+04  1.1088E+05
    15.5282792  1.1435E+05  8.7857E+04  8.7883E+04  1.1152E+05
    15.5050048  1.1502E+05  8.5032E+04  8.5051E+04  1.1217E+05
    15.4817653  1.1568E+05  9.1740E+04  9.1762E+04  1.1281E+05
    15.4585606  1.1635E+05  9.2029E+04  9.2058E+04  1.1346E+05
    15.4353908  1.1702E+05  9.4161E+04  9.4209E+04  1.1412E+05
    15.4122556  1.1770E+05  9.2976E+04  9.3378E+04  1.1478E+05
    15.3891551  1.1838E+05  9.0993E+04  9.1032E+04  1.1544E+05
    15.3660893  1.1907E+05  8.8594E+04  8.8655E+04  1.1610E+05
    15.3430580  1.1976E+05  9.1110E+04  9.1131E+04  1.1677E+05
    15.3200612  1.2045E+05  9.0463E+04  9.1858E+04  1.1744E+05
    15.2970989  1.2115E+05  9.1350E+04  9.1920E+04  1.1812E+05
    15.2741711  1.2185E+05  9.2133E+04  9.3607E+04  1.1880E+05
    15.2512776  1.2255E+05  9.4639E+04  9.5375E+04  1.1948E+05
    15.2284184  1.2326E+05  1.0209E+05  1.0222E+05  1.2017E+05
    15.2055934  1.2398E+05  9.7065E+04  9.7106E+04  1.2086E+05
    15.1828027  1.2469E+05  9.9763E+04  9.9811E+04  1.2156E+05
    15.1600461  1.2541E+05  9.5875E+04  9.5911E+04  1.2226E+05
    15.1373237  1.2614E+05  1.0000E+05  1.0005E+05  1.2296E+05
    15.1146353  1.2687E+05  9.9208E+04  9.9262E+04  1.2367E+05
    15.0919809  1.2760E+05  9.5982E+04  9.6073E+04  1.2438E+05
    15.0693605  1.2834E+05  9.7945E+04  9.8067E+04  1.2510E+05
    15.0467739  1.2908E+05  9.9204E+04  9.9570E+04  1.2582E+05
    15.0242213  1.2983E+05  9.4122E+04  9.4153E+04  1.2654E+05
    15.0017024  1.3058E+05  1.0996E+05  1.1001E+05  1.2727E+05
