#           wl        cont         all         h2o      planck
    15.5515885  1.0887E+05  8.4451E+04  8.4587E+04  1.1088E+05
    15.5282792  1.0950E+05  8.7298E+04  8.7333E+04  1.1152E+05
    15.5050048  1.1013E+05  8.9008E+04  8.9049E+04  1.1217E+05
    15.4817653  1.1077E+05  8.6123E+04  8.6144E+04  1.1281E+05
    15.4585606  1.1141E+05  8.7967E+04  8.8004E+04  1.1346E+05
    15.4353908  1.1205E+05  8.6959E+04  8.7054E+04  1.1412E+05
    15.4122556  1.1270E+05  9.0428E+04  9.0492E+04  1.1478E+05
    15.3891551  1.1335E+05  8.6346E+04  8.6375E+04  1.1544E+05
    15.3660893  1.1400E+05  9.0769E+04  9.0818E+04  1.1610E+05
    15.3430580  1.1466E+05  8.9249E+04  8.9277E+04  1.1677E+05
    15.3200612  1.1533E+05  8.7731E+04  8.8084E+04  1.1744E+05
    15.2970989  1.1599E+05  8.8215E+04  8.9358E+04  1.1812E+05
    15.2741711  1.1666E+05  9.2154E+04  9.2710E+04  1.1880E+05
    15.2512776  1.1734E+05  9.3751E+04  9.4160E+04  1.1948E+05
    15.2284184  1.1801E+05  9.2484E+04  9.2616E+04  1.2017E+05
    15.2055934  1.1870E+05  9.5681E+04  9.5744E+04  1.2086E+05
    15.1828027  1.1938E+05  9.0897E+04  9.0952E+04  1.2156E+05
    15.1600461  1.2007E+05  9.5141E+04  9.5206E+04  1.2226E+05
    15.1373237  1.2076E+05  9.3327E+04  9.3374E+04  1.2296E+05
    15.1146353  1.2146E+05  9.8256E+04  9.8307E+04  1.2367E+05
    15.0919809  1.2216E+05  9.5639E+04  9.5813E+04  1.2438E+05
    15.0693605  1.2287E+05  9.9104E+04  9.9167E+04  1.2510E+05
    15.0467739  1.2358E+05  9.3478E+04  9.3848E+04  1.2582E+05
    15.0242213  1.2429E+05  9.8157E+04  9.8214E+04  1.2654E+05
    15.0017024  1.2501E+05  1.0065E+05  1.0070E+05  1.2727E+05
    14.9792172  1.2573E+05  9.6242E+04  9.6290E+04  1.2800E+05
    14.9567658  1.2646E+05  9.9743E+04  9.9864E+04  1.2874E+05
    14.9343481  1.2719E+05  1.0163E+05  1.0176E+05  1.2948E+05
    14.9119639  1.2792E+05  9.9468E+04  9.9578E+04  1.3023E+05
    14.8896133  1.2866E+05  1.0221E+05  1.0237E+05  1.3098E+05
    14.8672961  1.2940E+05  1.0119E+05  1.0128E+05  1.3173E+05
    14.8450125  1.3015E+05  1.0345E+05  1.0355E+05  1.3249E+05
    14.8227622  1.3090E+05  1.0237E+05  1.0244E+05  1.3325E+05
    14.8005453  1.3165E+05  1.0708E+05  1.0714E+05  1.3402E+05
    14.7783617  1.3241E+05  1.0451E+05  1.0457E+05  1.3479E+05
    14.7562113  1.3318E+05  1.0596E+05  1.0601E+05  1.3556E+05
    14.7340941  1.3394E+05  1.0808E+05  1.0842E+05  1.3634E+05
    14.7120101  1.3472E+05  1.0352E+05  1.0415E+05  1.3712E+05
    14.6899592  1.3549E+05  1.0245E+05  1.0251E+05  1.3791E+05
    14.6679413  1.3628E+05  1.0409E+05  1.0437E+05  1.3871E+05
